id_chemical,cherry-initial-fluorescence,cherry-final-fluorescence,cherry-lagtime2,cherry-doubletime  ,sapphire-initial-fluorescence,sapphire-final-fluorescence,sapphire-lagtime2,sapphire-doubletime,venus-initial-fluorescence,venus-final-fluorescence,venus-lagtime2,venus-doubletime,F-Cherry,F-Sapphire,F-Venus,HitRatio-Cherry,HitRatio-Sapphire,HitRatio-Venus,MIY-Cherry,MIY-Sapphire,MIY-Venus,DT-Cherry,DT-Sapphire,DT-Venus,Label
20106_cb094f2c-7401-440d-a4e1-50b4df4251a4, 2051.00000, 58756.00000, 0.62456, 1.66343, 3657.00000, 73277.00000, 0.47801, 2.71390, 4603.00000, 57121.00000, 0.00000, 2.38511, -0.00177, -0.00167, -0.00293, 1.00501, 0.96763, 1.03996, 0.62456, -0.10193, 0.00000, 0.94139, 1.02387, 0.99895,Inactive
20108_7af2061d-41af-4ee4-b30f-6c8b1a4cb9f4, 1656.00000, 54956.00000, 0.00000, 1.70646, 3678.00000, 69661.00000, 0.57771, 2.68228, 4540.00000, 49309.50000, 0.65333, 2.11955, -0.00877, -0.00138, -0.00418, 0.94466, 0.91708, 0.88652, 0.00000, -0.00223, 0.65333, 0.96574, 1.01194, 0.88773,Inactive
20111_00b39659-edb6-4a7f-b549-5d06d2349fc4, 2032.00000, 63376.00000, 0.00000, 1.85828, 3712.00000, 79637.00000, 0.50195, 2.61780, 4653.00000, 59727.00000, 0.00000, 2.33991, -0.00211, -0.00090, -0.00194, 1.08723, 1.05526, 1.09057, 0.00000, -0.07799, 0.00000, 1.05166, 0.98761, 0.98002,Inactive
20113_115c1b63-f677-479a-82ae-1fe849282a08, 2188.00000, 61044.00000, 0.00000, 1.81802, 3815.00000, 78346.50000, 0.48968, 2.67419, 4721.00000, 57112.00000, 0.00000, 2.35903, 0.00066, 0.00053, -0.00059, 1.04313, 1.03589, 1.03745, 0.00000, -0.09026, 0.00000, 1.02887, 1.00888, 0.98803,Inactive
20119_0f473a6a-9ceb-49b2-9851-07ff5fba2d6b, 1868.00000, 54739.00000, 0.00000, 1.74323, 3686.00000, 69880.00000, 0.62982, 2.67085, 4461.00000, 50350.00000, 0.00000, 2.39617, -0.00502, -0.00126, -0.00574, 0.93706, 0.92001, 0.90869, 0.00000, 0.04989, 0.00000, 0.98655, 1.00762, 1.00359,Inactive
20122_073b1084-174e-4d45-8aa3-39a8da89f2d9, 2068.00000, 54258.00000, 0.83131, 1.56744, 3780.00000, 72928.00000, 0.60865, 2.65339, 4708.00000, 49115.50000, 0.65407, 2.13269, -0.00147, 0.00004, -0.00085, 0.92499, 0.96107, 0.87936, 0.83131, 0.02872, 0.65407, 0.88706, 1.00104, 0.89323,Inactive
20134_c5431176-31c5-4ead-85e3-5bd1b2ca6088, 1873.00000, 29772.00000, 0.00000, 6.47179, 3549.00000, 54517.50000, 8.91794, 4.71185, 4394.00000, 32929.00000, 8.44756, 4.88980, -0.00493, -0.00317, -0.00707, 0.49447, 0.70840, 0.56505, 0.00000, 8.33801, 8.44756, 3.66259, 1.77763, 2.04799,Definitely Toxic
20141_955064eb-7240-4cf5-81c3-a18d30bdd9cf, 2044.00000, 55753.00000, 0.00000, 1.84931, 3732.00000, 70238.00000, 0.71111, 2.67801, 4737.00000, 49971.00000, 0.59791, 2.20093, -0.00190, -0.00063, -0.00028, 0.95191, 0.92435, 0.89572, 0.00000, 0.13118, 0.59791, 1.04658, 1.01033, 0.92181,Inactive
20143_13a8e934-8210-4357-8c67-9fd9c6e630fe, 2310.00000, 55506.00000, 0.74610, 1.67745, 3906.00000, 76193.00000, 0.59018, 2.65970, 4807.00000, 51486.00000, 0.00000, 2.44294, 0.00282, 0.00179, 0.00111, 0.94282, 1.00470, 0.92434, 0.74610, 0.01025, 0.00000, 0.94932, 1.00342, 1.02317,Inactive
20162_53c165dc-f453-4e41-a68b-75b8e0e6a9b4, 2555.00000, 58769.00000, 0.67411, 1.77762, 3813.00000, 72032.00000, 0.69685, 2.63740, 4840.00000, 51531.00000, 0.62165, 2.15239, 0.00716, 0.00050, 0.00176, 0.99630, 0.94816, 0.92457, 0.67411, 0.11692, 0.62165, 1.00601, 0.99500, 0.90148,Inactive
20169_3e969241-22dc-4312-a97e-8c07b5c742f3, 2073.00000, 54642.00000, 0.54329, 1.70048, 3692.00000, 68450.00000, 0.62325, 2.68468, 4536.00000, 50735.00000, 0.00000, 2.40641, -0.00138, -0.00118, -0.00426, 0.93170, 0.90005, 0.91483, 0.54329, 0.04332, 0.00000, 0.96235, 1.01284, 1.00787,Inactive
20174_c266df92-41f9-4f4d-ac99-a5fad8068140, 1813.00000, 58654.00000, 0.00000, 1.76840, 3580.00000, 70296.50000, 0.57402, 2.68381, 4416.00000, 52053.50000, 0.00000, 2.40650, -0.00599, -0.00274, -0.00663, 1.00742, 0.92727, 0.94332, 0.00000, -0.00591, 0.00000, 1.00079, 1.01251, 1.00791,Inactive
20175_4aaa4380-7fe2-4327-89c3-4bafd65ee2f6, 1957.00000, 57532.00000, 0.00000, 1.78215, 3659.00000, 71233.00000, 0.67566, 2.64575, 4380.00000, 53025.50000, 0.00000, 2.35641, -0.00344, -0.00164, -0.00735, 0.98498, 0.93919, 0.96328, 0.00000, 0.09572, 0.00000, 1.00857, 0.99816, 0.98693,Inactive
20206_beff121d-9ceb-4fc2-9efa-24266b92c424, 1774.00000, 57031.50000, 0.00000, 1.74928, 3587.00000, 71318.00000, 0.56778, 2.65529, 4438.00000, 50448.00000, 0.00000, 2.41132, -0.00668, -0.00264, -0.00620, 0.97935, 0.94138, 0.91109, 0.00000, -0.01216, 0.00000, 0.98997, 1.00175, 1.00993,Inactive
20214_d0cca9ca-7b9e-47b1-af88-dbaa696c9a45, 2338.00000, 65304.00000, 0.00000, 1.83105, 3620.00000, 85733.00000, 0.39434, 2.54085, 4687.00000, 60663.00000, 0.00000, 2.30434, 0.00331, -0.00218, -0.00127, 1.11597, 1.14127, 1.10844, 0.00000, -0.18560, 0.00000, 1.03625, 0.95858, 0.96512,Inactive
20216_b762be3a-c8c4-494a-932e-2492ac3265d2, 2324.00000, 55522.00000, 0.42921, 2.02271, 3614.00000, 72400.00000, 1.14736, 2.58331, 4432.00000, 51613.00000, 0.58799, 2.37890, 0.00307, -0.00227, -0.00632, 0.94285, 0.95604, 0.93428, 0.42921, 0.56743, 0.58799, 1.14471, 0.97460, 0.99635,Inactive
20216_c423a5c2-1c38-45d8-8378-02504cf103af, 1944.00000, 53187.00000, 0.00000, 2.01988, 3763.00000, 73920.00000, 1.24043, 2.57406, 4368.00000, 52742.50000, 0.48232, 2.39293, -0.00367, -0.00019, -0.00758, 0.90820, 0.97509, 0.95791, 0.00000, 0.66050, 0.48232, 1.14311, 0.97111, 1.00223,Inactive
20245_6f109f3f-b28b-4900-8a8b-39a0803af6e6, 2248.00000, 58620.00000, 0.00000, 1.95584, 3781.00000, 59813.00000, 0.98861, 2.61271, 4769.00000, 47174.00000, 0.38780, 2.36192, 0.00172, 0.00006, 0.00036, 0.99910, 0.77877, 0.83970, 0.00000, 0.40868, 0.38780, 1.10687, 0.98569, 0.98924,Inactive
20260_38132acc-96de-42c4-8cb1-9f0be7406894, 1940.00000, 54603.00000, 0.00000, 1.89219, 3738.00000, 69606.00000, 1.01918, 2.57373, 4595.00000, 53196.00000, 0.00000, 2.40211, -0.00374, -0.00054, -0.00309, 0.93337, 0.91548, 0.96240, 0.00000, 0.43925, 0.00000, 1.07085, 0.97098, 1.00607,Inactive
20291_a904fd09-763a-4719-9b03-67bb47d1e256, 2127.00000, 14527.00000, 0.65713, 3.17375, 3628.00000, 13791.00000, 1.29396, 5.90367, 4412.00000, 18656.00000, 0.56156, 4.45016, -0.00043, -0.00207, -0.00671, 0.21977, 0.14125, 0.28206, 0.65713, 0.71403, 0.56156, 1.79612, 2.22726, 1.86386,Definitely Toxic
20316_835c587d-9b57-4db4-afba-f1df02632b68, 2222.00000, 59194.50000, 0.81118, 1.63623, 3697.00000, 70196.00000, 1.03264, 2.54889, 4537.00000, 53536.00000, 0.00000, 2.39420, 0.00126, -0.00111, -0.00424, 1.00975, 0.92425, 0.97028, 0.81118, 0.45271, 0.00000, 0.92599, 0.96161, 1.00276,Inactive
20329_4800805a-4268-4fa6-b768-a2ab89b7e3a0, 1848.00000, 57880.00000, 0.00000, 1.78769, 3691.00000, 72304.00000, 0.96743, 2.55479, 4404.00000, 53023.00000, 0.56737, 2.11810, -0.00537, -0.00120, -0.00687, 0.99308, 0.95363, 0.96275, 0.00000, 0.38750, 0.56737, 1.01171, 0.96384, 0.88712,Inactive
20330_cc042195-fdd1-40d9-b0c2-8f79c3873d19, 2049.00000, 57446.00000, 0.87323, 1.50338, 3779.00000, 71456.00000, 0.68869, 2.66298, 4715.00000, 52388.00000, 0.60471, 2.15950, -0.00181, 0.00003, -0.00071, 0.98182, 0.94062, 0.94402, 0.87323, 0.10876, 0.60471, 0.85081, 1.00466, 0.90446,Inactive
